Dataset,GreedyAnswer,GreedyTimeTaken,DPAnswer, DPTimeTaken, Maximum Capacity, Special Case
1,4806,0.0,4806,0.0029997825622558594,5584,1 Single item
2,9890,0.00020022392272949218,9890,3.079199457168579,9916,Same Weights for all items
3,575,0.0,575,1.2632006645202636,2969,All items having weight of 1
4,5500,0.0005939483642578125,5509,0.749010419845581,5509,None
5,4643,0.002595949172973633,4646,2.2918103694915772,4646,None
6,8627,0.00159912109375,8631,3.0812127113342287,8631,None
7,9813,0.0,9910,0.3068109035491943,9910,None
8,8458,0.002594757080078125,8459,4.750808763504028,8459,None
9,1667,0.0028101921081542967,1684,0.6346010684967041,1684,None
10,6858,0.0021892547607421874,6860,3.0032126903533936,6860,None
11,3317,0.0027872562408447266,3318,1.6334110260009767,3318,None
12,4736,0.0012065410614013673,4736,0.8062034130096436,4736,None
13,9069,0.0030085563659667967,9070,5.973802375793457,9070,None
14,7101,0.002006721496582031,7119,2.7504008293151854,7119,None
15,2016,0.001207876205444336,2017,0.19560704231262208,2017,None
16,2741,0.0013967037200927734,2742,0.566805362701416,2742,None
17,6524,0.0015995502471923828,6529,2.2962116241455077,6529,None
18,845,0.001400136947631836,847,0.14521303176879882,847,None
19,2920,0.0014078140258789063,2922,0.5392032146453858,2922,None
20,2886,0.00040793418884277344,2900,0.21200313568115234,2900,None
21,2705,0.00020413398742675782,2744,0.0538078784942627,2744,None
22,216,0.002400112152099609,216,0.0634066104888916,244,None
